PORT,STATE,SERVICE,BANNER

Summary
Open ports: 6
Closed ports: 1018
Filtered ports: 0
ULL
6,CLOSED,---,NULL
7,CLOSED,---,NULL
13,CLOSED,---,NULL
14,CLOSED,---,NULL
15,CLOSED,---,NULL
16,CLOSED,---,NULL
20,CLOSED,---,NULL
23,CLOSED,TelNet,NULL
24,CLOSED,---,NULL
25,CLOSED,SMTP,NULL
27,CLOSED,---,NULL
29,CLOSED,---,NULL
34,CLOSED,---,NULL
36,CLOSED,---,NULL
39,CLOSED,---,NULL
41,CLOSED,---,NULL
8,CLOSED,---,NULL
9,CLOSED,---,NULL
10,CLOSED,---,NULL
11,CLOSED,---,NULL
12,CLOSED,---,NULL
17,CLOSED,---,NULL
18,CLOSED,---,NULL
42,CLOSED,---,NULL
44,CLOSED,---,NULL
45,CLOSED,---,NULL
19,CLOSED,---,NULL
48,CLOSED,---,NULL
49,CLOSED,---,NULL
50,CLOSED,---,NULL
51,CLOSED,---,NULL
57,CLOSED,---,NULL
59,CLOSED,---,NULL
21,CLOSED,FTP,NULL
63,CLOSED,---,NULL
64,CLOSED,---,NULL
66,CLOSED,---,NULL
67,CLOSED,DHCP server,NULL
68,CLOSED,DHCP client,NULL
71,CLOSED,---,NULL
73,CLOSED,---,NULL
74,CLOSED,---,NULL
26,CLOSED,---,NULL
28,CLOSED,---,NULL
30,CLOSED,---,NULL
75,CLOSED,---,NULL
76,CLOSED,---,NULL
31,CLOSED,---,NULL
32,CLOSED,---,NULL
77,CLOSED,---,NULL
33,CLOSED,---,NULL
78,CLOSED,---,NULL
35,CLOSED,---,NULL
37,CLOSED,---,NULL
38,CLOSED,---,NULL
40,CLOSED,---,NULL
43,CLOSED,---,NULL
54,CLOSED,---,NULL
82,CLOSED,---,NULL
91,CLOSED,---,NULL
46,CLOSED,---,NULL
93,CLOSED,---,NULL
47,CLOSED,---,NULL
95,CLOSED,---,NULL
52,CLOSED,---,NULL
96,CLOSED,---,NULL
55,CLOSED,---,NULL
56,CLOSED,---,NULL
58,CLOSED,---,NULL
60,CLOSED,---,NULL
99,CLOSED,---,NULL
61,CLOSED,---,NULL
62,CLOSED,---,NULL
65,CLOSED,---,NULL
100,CLOSED,---,NULL
69,CLOSED,---,NULL
70,CLOSED,---,NULL
72,CLOSED,---,NULL
79,CLOSED,---,NULL
81,CLOSED,---,NULL
83,CLOSED,---,NULL
84,CLOSED,---,NULL
85,CLOSED,---,NULL
86,CLOSED,---,NULL
87,CLOSED,---,NULL
88,CLOSED,---,NULL
89,CLOSED,---,NULL
90,CLOSED,---,NULL
92,CLOSED,---,NULL
94,CLOSED,---,NULL
97,CLOSED,---,NULL
98,CLOSED,---,NULL
22,OPEN,SSH,---
53,OPEN,DNS,---
80,OPEN,HTTP,---
101,CLOSED,---,NULL
104,CLOSED,---,NULL
105,CLOSED,---,NULL
106,CLOSED,---,NULL
107,CLOSED,---,NULL
108,CLOSED,---,NULL
102,CLOSED,---,NULL
110,CLOSED,POP3,NULL
112,CLOSED,---,NULL
113,CLOSED,---,NULL
114,CLOSED,---,NULL
115,CLOSED,---,NULL
116,CLOSED,---,NULL
117,CLOSED,---,NULL
120,CLOSED,---,NULL
103,CLOSED,---,NULL
109,CLOSED,---,NULL
118,CLOSED,---,NULL
119,CLOSED,---,NULL
121,CLOSED,---,NULL
125,CLOSED,---,NULL
126,CLOSED,---,NULL
127,CLOSED,---,NULL
128,CLOSED,---,NULL
129,CLOSED,---,NULL
122,CLOSED,---,NULL
123,CLOSED,---,NULL
124,CLOSED,---,NULL
131,CLOSED,---,NULL
132,CLOSED,---,NULL
130,CLOSED,---,NULL
135,CLOSED,---,NULL
137,CLOSED,---,NULL
138,CLOSED,---,NULL
111,OPEN,---,---
133,CLOSED,---,NULL
134,CLOSED,---,NULL
136,CLOSED,---,NULL
139,OPEN,---,---
140,CLOSED,---,NULL
141,CLOSED,---,NULL
142,CLOSED,---,NULL
143,CLOSED,IMAP,NULL
